"VENDOR_ID","VENDOR_NAME","VENDOR_SITE_DETAILS",
1,"GE Plastics","LONDON London",
2,"Providence Property and Casualty","ROMA Roma",
3,"Building Management Inc.","LEIDEN Leiden",
4,"Advanced Network Devices","FRESNO Fresno CA",
5,"Berkelaar, Rob","OFFICE Amsterdam",
6,"Blok, Angela","OFFICE Amsterdam",
7,"Providence Property and Casualty","ESSEN Essen",
8,"iPrint","PARIS Paris",
9,"Huber, Birgit","OFFICE München",
10,"Bechtel","FRESNO Fresno CA",
11,"Beckmann, Lisa","OFFICE New York NY",
12,"Advantage Corp","ADVANTAGE UK Uxbridge",
13,"Advantage Corp","AMERSFOORT Amersfoort",
14,"Providence Property and Casualty","STOCKHOLM Stockholm",
15,"GE Capital","ETTERBEEK ERS Etterbeek",
16,"Bailey, Sara","OFFICE San Francisco CA",
17,"Brown, Jane","HOME Redwood Shores CA",
18,"MCI","HOME Redwood Shores CA",
19,"Advanced Network Devices","MALAGA Benalmadena Costa",
20,"Staffing Services Inc.","STAF SERV MAIN Los Angeles CA",
21,"Advanced Network Devices","LONDON London",
22,"Industrial Dressler","MALMÖ Malmö",
23,"GE Plastics","BOLOGNA Bologna",
24,"United Parcel Service","BRISTOL Bristol",
25,"Building Management Inc.","BRUSSEL Brussel",
26,"GE Capital","HAMBURG Hamburg",
27,"Bechtel","COLOMBES Paris",
28,"Advanced Network Devices","SANTA CLARA-ERS Santa Clara CA",
29,"Jackson, Kwame","HOME San Jose CA",
30,"General Electric","IT GE ERS Milano",
31,"Janse, Pieter","OFFICE Amsterdam",
32,"General Electric","PARIS Paris",
33,"Building Management Inc.","DEFENSE PARIS",
34,"General Electric","GENT ERS Gent",
35,"Bastid, Alain","HOME Versailles",
36,"Marty, Frederic","OFFICE Bordeaux",
37,"iPrint","MILANO ERS Milano",
38,"American Telephone and Telegraph","HQ EFT Chicago IL",
39,"Office Supplies, Inc.","IL EFT Chicago IL",
40,"Consolidated Supplies","NAPOLI ERS Napoli",
41,"Consolidated Supplies","STAFFORD Stafford",
42,"Goldman, Pamela","OFFICE New York NY",
43,"GE Capital","AMSTERDAM Amsterdam",
44,"Consolidated Supplies","VLISSINGEN Vlissingen",
45,"Bechtel","FRANKFURT Frankfurt",
46,"Advantage Corp","US CHECK New York NY",
47,"Allied Manufacturing","SUNDSVALL Sundsvall SE",
48,"Building Management Inc.","BM RICHMOND Richmond VA",
49,"Eastern Industrial Products","EIP MAIN Los Angeles CA",
50,"Star Gate Ltd","GANSHOREN ERS Ganshoren",
51,"Internal-Vision Svcs R","INTERNAL-R Atlanta GA",
52,"Advantage Corp","ADVANTAGE FR LYON FRANCE",
53,"Advanced Network Devices","NANTERRE Nanterre FRANCE",
54,"TT Services","TT SAN FRAN San Francisco CA",
55,"Internal-Vision Services","INTERNAL-SVCS Philadelphia PA",
56,"Office Supplies, Inc.","OFFSUPPL ITALIA Milano Italia",
57,"GE Capital","PARIS PARIS",
58,"Berthier, Alain","HOME Mulhouse",
59,"Advanced Network Devices","ZWICKAU Zwickau",
60,"Advantage Corp","ADVANTAGECL Paris",
61,"McGwire, Patrick","OFFICE Atlanta GA",
62,"Penguin Publisher","SALES New York NY",
63,"Consolidated Supplies","STRASBOURG Strasbourg",
64,"Corporate Express Office Supply","STOCKHOLM Stockholm",
65,"TT Services","STOCKPORT Stockport",
66,"United Parcel Service","UPS - HQ Atlanta GA",
67,"Advantage Corp","DÜSSELDORF Düsseldorf",
68,"Allied Manufacturing","DANVILLE-CTR Danville NJ",
69,"Consolidated Supplies","FALKENBERG Falkenberg SE",
70,"Cagliastro, Joanne Lisa","HOME Redwood Shores CA",
71,"Rich, Lawrence Joseph","HOME Redwood Shores CA",
72,"Advantage Corp","IT CHECK Milano Italia",
73,"GE Capital","STOCKHOLM Stockholm SE",
74,"Advantage Corp","ADVANTAGE - US Redwood Shores CA",
75,"Allied Manufacturing","SAN JOSE-ERS San Jose CA",
76,"American Telephone and Telegraph","SANTA CLARA Santa Clara CA",
77,"Capp Consulting","CAPP CONSULTING Richmond VA",
78,"Home Depot, Inc.","CORPORATE (ERS) San Mateo CA",
79,"Corporate Express Office Supply","PROJECTS SITE Los Angeles CA",
80,"Vision","VISION ITALIA S.S.Giovanni Italia",
81,"Lion, Sam","HOME Lille",
82,"General Electric","BREDA Breda",
83,"Valérian, Pierre","OFFICE Vélizy",
84,"Depardon, Raymond","OFFICE Vélizy",
85,"General Electric","VISBY Visby SE",
86,"Building Management Inc.","BONN Bonn",
87,"United Parcel Service","GENT Gent",
88,"Providence Property and Casualty","LEUVEN Leuven",
89,"Advanced Network Devices","KALMAR Kalmar SE",
90,"Kasbergen, Cor","OFFICE Amsterdam",
91,"Corporate Express Office Supply","ARNHEM Arnhem",
92,"Consolidated Electric","MAIN Marrietta GA",
93,"Dupont, Alain","OFFICE Bordeaux",
94,"Caroline, Bruno","OFFICE Mulhouse",
95,"GE Capital","MILANO ERS Milano",
96,"Advantage Corp","ADVANTAGE FR PARIS",
97,"Erickson, Barry","OFFICE New York NY",
98,"Brown, Casey","OFFICE New York NY",
99,"General Electric","MANCHESTER Manchester",
100,"Allied Manufacturing","BOLOGNA ERS Bologna",
101,"Building Management Inc.","GÖTEBORG Göteborg",
102,"Next Generation Graphix (DBA, Art Wilde)","STOCKHOLM Stockholm",
103,"Building Management Inc.","HQ - NYC New York NY",
104,"Office Supplies, Inc.","NY CHECK New York NY",
105,"United Parcel Service","UPS ITALIA Milano Italia",
106,"Consolidated Supplies","SPRINGFIELD Springfield TX",
107,"Advantage Corp","ADVANTAGE US Redwood Shores CA",
108,"Advantage Corp","LONDON London",
109,"Building Management Inc.","BRISTOL Bristol",
110,"Lamaury, Thibault","OFFICE Vélizy",
111,"Providence Property and Casualty","LYON Lyon",
112,"Walcher, Bernhard","OFFICE München",
113,"GE Plastics","SERAING Seraing",
114,"Lang, Inga R","OFFICE Boston MA",
115,"Becker Supply and Services","SOLIHULL Solihull",
116,"Advantage Corp","UK CHECK Uxbridge",
117,"Advantage Corp","US EFT Chicago IL",
118,"Advantage Corp","FR EFT LYON FRANCE",
119,"Corporate Express Office Supply","ANDERLECHT Anderlecht",
120,"Corporate Express Office Supply","MÜNCHEN München",
121,"United Parcel Service","ROTTERDAM Rotterdam",
122,"Star Gate Ltd","ROTTERDAM Rotterdam",
123,"Consolidated Supplies","SALES (ERS) Miami FL",
124,"Corporate Express Office Supply","CEOS ITALIA Roma Italia",
125,"GE Plastics","DÜSSELDORF Düsseldorf",
126,"Fernandez, Manny","HOME Redwood Shores CA",
127,"General Electric","STOCKHOLM Stockholm SE",
128,"Bechtel","OFFICE IL EFT Chicago IL",
129,"iPrint","IPRINT2 CHECK New York NY",
130,"Star Gate Ltd","TWIN MT-CTR Twin Mountain NH",
131,"Staffing Services Inc.","STAF SERV PROJ Los Angeles CA",
132,"Providence Property and Casualty","LONDON London",
133,"Advanced Network Devices","AND-BREDA Breda",
134,"General Electric","HAMBURG Hamburg",
135,"Marjolet, Didier Alain","HOME Paris",
136,"Gasquet, Christelle Elisabeth","HOME Paris",
137,"Williams, Harrold","OFFICE Troy MI",
138,"Martin, Fabienne","OFFICE Vélizy",
139,"Next Generation Graphix (DBA, Art Wilde)","KIRUNA Kiruna",
140,"Katzberg, Susan","HOME New York NY",
141,"Webb, Jean","HOME Whitley Bay",
142,"Advantage Corp","MAIN Richmond VA",
143,"Kievit, Rolf","OFFICE Amsterdam",
144,"Kruithof, Piet","OFFICE Amsterdam",
145,"Boursin, Elisabeth","OFFICE Nanterre",
146,"Jones, Gray, and Associates","PUK JGA Reading",
147,"Providence Property and Casualty","UTRECHT Utrecht",
148,"Allied Manufacturing","BRUGGE ERS Brugge",
149,"Vision","LEUVEN ERS Leuven",
150,"Ruijter, Eveline","HOME HEERHUGOWAARD",
151,"Beckman, Lisa","OFFICE New York NY",
